State ID,State Name,ST,SC,General,State,ST %,SC %,General %
1,Jammu & Kashmir,1493299,924991,10123012,12541302,11.91,7.38,80.72
2,Himachal Pradesh,392126,1729252,4743224,6864602,5.71,25.19,69.1
3,Punjab,0,8860179,18883159,27743338,0,31.94,68.06
4,Chandigarh,0,199086,856364,1055450,0,18.86,81.14
5,Uttarakhand,291903,1892516,7901873,10086292,2.89,18.76,78.34
6,Haryana,0,5113615,20237847,25351462,0,20.17,79.83
7,Nct Of Delhi,0,2812309,13975632,16787941,0,16.75,83.25
8,Rajasthan,9238534,12221593,47088310,68548437,13.48,17.83,68.69
9,Uttar Pradesh,1134273,41357608,157320460,199812341,0.57,20.7,78.73
10,Bihar,1336573,16567325,86195554,104099452,1.28,15.91,82.8
11,Sikkim,206360,28275,375942,610577,33.8,4.63,61.57
12,Arunachal Pradesh,951821,0,431906,1383727,68.79,0,31.21
13,Nagaland,1710973,0,267529,1978502,86.48,0,13.52
14,Manipur,1167422,97328,1591044,2855794,40.88,3.41,55.71
15,Mizoram,1036115,1218,59873,1097206,94.43,0.11,5.46
16,Tripura,1166813,654918,1852186,3673917,31.76,17.83,50.41
17,Meghalaya,2555861,17355,393673,2966889,86.15,0.58,13.27
18,Assam,3884371,2231321,25089884,31205576,12.45,7.15,80.4
19,West Bengal,5296953,21463270,64515892,91276115,5.8,23.51,70.68
20,Jharkhand,8645042,3985644,20357448,32988134,26.21,12.08,61.71
21,Odisha,9590756,7188463,25194999,41974218,22.85,17.13,60.02
22,Chhattisgarh,7822902,3274269,14448027,25545198,30.62,12.82,56.56
23,Madhya Pradesh,15316784,11342320,45967705,72626809,21.09,15.62,63.29
24,Gujarat,8917174,4074447,47448071,60439692,14.75,6.74,78.5
25,Daman & Diu,15363,6124,221760,243247,6.32,2.52,91.17
26,Dadra & Nagar Haveli,178564,6186,158959,343709,51.95,1.8,46.25
27,Maharashtra,10510213,13275898,88588222,112374333,9.35,11.81,78.83
28,Andhra Pradesh,5918073,13878078,64784626,84580777,7,16.41,76.59
29,Karnataka,4248987,10474992,46371318,61095297,6.95,17.15,75.9
30,Goa,149275,25449,1283821,1458545,10.23,1.74,88.02
31,Lakshadweep,61120,0,3353,64473,94.8,0,5.2
32,Kerala,484839,3039573,29881649,33406061,1.45,9.1,89.45
33,Tamil Nadu,794697,14438445,56913888,72147030,1.1,20.01,78.89
34,Puducherry,0,196325,1051628,1247953,0,15.73,84.27
35,Andaman & Nicobar Islands,28530,0,352051,380581,7.5,0,92.5
