State ID,State Name,ST Population,State Population,ST Percentage
1,Jammu & Kashmir,1493299,12541302,11.91
2,Himachal Pradesh,392126,6864602,5.71
3,Punjab,0,27743338,0
4,Chandigarh,0,1055450,0
5,Uttarakhand,291903,10086292,2.89
6,Haryana,0,25351462,0
7,Nct Of Delhi,0,16787941,0
8,Rajasthan,9238534,68548437,13.48
9,Uttar Pradesh,1134273,199812341,0.57
10,Bihar,1336573,104099452,1.28
11,Sikkim,206360,610577,33.8
12,Arunachal Pradesh,951821,1383727,68.79
13,Nagaland,1710973,1978502,86.48
14,Manipur,1167422,2855794,40.88
15,Mizoram,1036115,1097206,94.43
16,Tripura,1166813,3673917,31.76
17,Meghalaya,2555861,2966889,86.15
18,Assam,3884371,31205576,12.45
19,West Bengal,5296953,91276115,5.8
20,Jharkhand,8645042,32988134,26.21
21,Odisha,9590756,41974218,22.85
22,Chhattisgarh,7822902,25545198,30.62
23,Madhya Pradesh,15316784,72626809,21.09
24,Gujarat,8917174,60439692,14.75
25,Daman & Diu,15363,243247,6.32
26,Dadra & Nagar Haveli,178564,343709,51.95
27,Maharashtra,10510213,112374333,9.35
28,Andhra Pradesh,5918073,84580777,7
29,Karnataka,4248987,61095297,6.95
30,Goa,149275,1458545,10.23
31,Lakshadweep,61120,64473,94.8
32,Kerala,484839,33406061,1.45
33,Tamil Nadu,794697,72147030,1.1
34,Puducherry,0,1247953,0
35,Andaman & Nicobar Islands,28530,380581,7.5
